commit.id;exit.status;perc.of.cpu;elapsed.real.time;elapsed.system.time;elapsed.user.time
bfd40eaff5ab;0;11%;87.05;9.07;1.18
2f53fbd52182;0;14%;74.37;9.62;1.07
7007ba630e4a;0;12%;86.53;9.47;0.94
bce1a65172d1;0;14%;86.61;11.10;1.11
4efe37f4c4ef;0;10%;90.47;8.09;1.05
78109d230b79;0;9%;122.01;10.77;1.04
847ecd3fa311;0;12%;52.92;5.92;0.45
5003ae1e735e;0;8%;134.59;9.89;1.20
38651683aa98;0;8%;114.69;8.82;1.20
15b4dd798149;0;11%;96.76;10.34;0.91
e71ff89c712c;0;12%;87.02;9.55;0.90
0d4a6608f68c;0;12%;81.00;9.09;0.91
134bd90286d;0;6%;115.44;7.27;0.51
25a3ba610609;0;10%;104.17;9.81;0.96
ec663d967b22;0;10%;91.90;8.66;0.82
ce8d1015a2b8;0;16%;72.07;10.55;1.14
96801b35f07e;0;9%;76.25;6.40;0.73
2551a53053de;0;13%;81.20;10.41;0.94
827ed2b06b05;0;10%;101.94;9.18;1.15
