commit.id;patch.phase.1;patch.phase.2;file;line
0d4a6608f68c;;;;
134bd90286d;alloc_cast.output;memdup.output;drivers/gpu/drm/amd/powerplay/hwmgr/vega12_processpptables.c;292
15b4dd798149;;;;
2551a53053de;alloc_cast.output;memdup.output;drivers/gpu/drm/amd/powerplay/hwmgr/vega12_processpptables.c;285
25a3ba610609;alloc_cast.output;memdup.output;drivers/staging/media/atomisp/pci/atomisp2/css2400/sh_css_firmware.c;133
2f53fbd52182;;;;
38651683aa98;alloc_cast.output;memdup.output;drivers/staging/media/atomisp/pci/atomisp2/css2400/sh_css_firmware.c;146
4efe37f4c4ef;alloc_cast.output;memdup.output;drivers/staging/media/atomisp/pci/atomisp2/css2400/sh_css_firmware.c;146
5003ae1e735e;;;;
7007ba630e4a;;;;
78109d230b79;;;;
827ed2b06b05;;;;
847ecd3fa311;;;;
96801b35f07e;;;;
bce1a65172d1;alloc_cast.output;memdup.output;drivers/gpu/drm/amd/powerplay/hwmgr/vega12_processpptables.c;285
bfd40eaff5ab;alloc_cast.output;memdup.output;drivers/gpu/drm/amd/powerplay/hwmgr/vega12_processpptables.c;292
ce8d1015a2b8;;;;
e71ff89c712c;;;;
ec663d967b22;;;;
